Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Thirsty,aespa,MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,6nICBdDevG4NZysIqDFPEa,68,2023-05-08,193413,False,https://open.spotify.com/track/6nICBdDevG4NZysIqDFPEa,0.654,0.787,6,-2.538,1,0.0636,0.549,0.0,0.13,0.632,77.513
I'm Unhappy,aespa,MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,6fzio74FGqFFsenYkbGPzR,60,2023-05-08,205893,False,https://open.spotify.com/track/6fzio74FGqFFsenYkbGPzR,0.675,0.657,5,-3.695,1,0.131,0.152,0.0,0.101,0.334,81.947
'Til We Meet Again,aespa,MY WORLD - The 3rd Mini Album,69xF8jTd0c4Zoo7DT3Rwrn,60Uio68M57PwKEgZxSutL6,56,2023-05-08,218360,False,https://open.spotify.com/track/60Uio68M57PwKEgZxSutL6,0.474,0.857,5,-2.577,1,0.0571,0.134,0.0,0.113,0.552,155.71
We Go,aespa,"Pokémon 2023 (Original TV Series Soundtrack, Korea)",2rTc5TdRP7hr7gE4h4lUR1,7hxvMTEUOXEKDZ3nnUqbdJ,52,2023-08-23,188532,False,https://open.spotify.com/track/7hxvMTEUOXEKDZ3nnUqbdJ,0.551,0.936,5,-1.726,1,0.146,0.0479,0.0,0.0771,0.458,157.102
By Your Side,9001,"Pokémon 2023 (Original TV Series Soundtrack, Korea)",2rTc5TdRP7hr7gE4h4lUR1,0DULYwlJVbkTTqA8ji6uSR,41,2023-08-23,167000,False,https://open.spotify.com/track/0DULYwlJVbkTTqA8ji6uSR,0.69,0.736,6,-2.669,1,0.03,0.398,0.0,0.221,0.802,97.972
Better Things,aespa,Better Things,1SHLOv0DDdRecK60z86Lth,6zZWoHlF2zNSLUNLvx4GUl,73,2023-08-18,203216,False,https://open.spotify.com/track/6zZWoHlF2zNSLUNLvx4GUl,0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027
DALLA DALLA,ITZY,IT'z Different,7Mxbav9clZ3AVDKThwwgXS,38rUIlTX93Aoif3WcY1wv6,67,2019-02-12,199874,False,https://open.spotify.com/track/38rUIlTX93Aoif3WcY1wv6,0.79,0.853,11,-4.564,0,0.0666,0.00116,4.23e-05,0.329,0.713,125.0
WANT IT?,ITZY,IT'z Different,7Mxbav9clZ3AVDKThwwgXS,24HHXG8VtexJC0hrJe1WJY,44,2019-02-12,200303,False,https://open.spotify.com/track/24HHXG8VtexJC0hrJe1WJY,0.745,0.951,5,-2.425,1,0.0527,0.0428,0.00386,0.203,0.606,127.945
ICY,ITZY,IT'z ICY,5Xb03XAF2LoaMqbM38H9eB,2vdkN2NSQ5mxqNGg7sJUxs,64,2019-07-29,191142,False,https://open.spotify.com/track/2vdkN2NSQ5mxqNGg7sJUxs,0.8,0.904,2,-2.821,1,0.0845,0.0328,3.17e-05,0.182,0.806,124.979
CHERRY,ITZY,IT'z ICY,5Xb03XAF2LoaMqbM38H9eB,0w63dfnXnMUEjHTH3dGcLQ,46,2019-07-29,190372,False,https://open.spotify.com/track/0w63dfnXnMUEjHTH3dGcLQ,0.829,0.559,11,-5.757,0,0.0666,0.011,2.25e-06,0.0561,0.532,94.991
